Date,Open,High,Low,Close,Adj Close,Volume
2019-12-04,43.820000,44.400002,43.820000,43.980000,43.252136,19264
2019-12-05,44.119999,46.400002,44.119999,45.060001,44.314266,49941
2019-12-06,45.000000,45.680000,44.799999,45.520000,44.766651,25942
2019-12-09,46.439999,46.439999,45.139999,45.299999,44.550293,29117
2019-12-10,45.700001,45.700001,44.580002,44.599998,43.861877,22578
2019-12-11,44.520000,44.520000,43.680000,44.000000,43.271809,25955
2019-12-12,43.799999,44.480000,43.799999,44.000000,43.271809,16527
2019-12-13,44.200001,44.360001,43.840000,43.919998,43.193130,12490
2019-12-16,43.919998,44.099998,43.540001,43.779999,43.055447,9464
2019-12-17,43.799999,45.000000,43.700001,43.939999,43.212799,17856
2019-12-18,43.919998,43.980000,43.639999,43.799999,43.075115,3835
2019-12-19,43.820000,43.900002,43.520000,43.740002,43.016113,5679
2019-12-20,44.000000,44.099998,43.779999,44.000000,43.271809,4484
2019-12-23,43.840000,45.439999,41.040001,45.439999,44.687973,49672
2019-12-24,45.500000,47.099998,45.500000,46.340000,45.573082,53810
2019-12-25,46.700001,46.799999,46.000000,46.500000,45.730434,12931
2019-12-26,46.000000,46.599998,45.139999,46.139999,45.376389,26911
2019-12-27,46.139999,48.639999,45.540001,48.580002,47.776012,115441
2019-12-30,49.020000,52.450001,49.020000,51.000000,50.155960,153601
2019-12-31,51.599998,51.599998,49.139999,49.840000,49.015156,27769
2020-01-02,49.700001,49.700001,47.799999,49.240002,48.425087,47574
2020-01-03,49.200001,49.200001,46.820000,47.799999,47.008919,29465
2020-01-06,47.020000,47.020000,46.240002,46.520000,45.750103,18276
2020-01-07,48.840000,48.840000,46.860001,47.419998,46.635204,22845
2020-01-08,47.180000,49.799999,45.540001,49.540001,48.720123,67343
2020-01-09,52.099998,53.500000,51.000000,51.849998,50.991890,152047
2020-01-10,52.000000,57.200001,51.750000,57.200001,56.253349,520261
2020-01-13,58.099998,58.250000,55.000000,55.750000,54.827347,265654
2020-01-14,56.000000,57.450001,51.099998,56.599998,55.663280,196473
2020-01-15,57.799999,58.000000,55.299999,56.000000,55.073212,119973
2020-01-16,56.500000,56.700001,54.900002,55.049999,54.138931,82799
2020-01-17,55.000000,55.450001,53.500000,53.950001,53.057140,41281
2020-01-20,55.099998,56.049999,54.049999,55.150002,54.237278,68237
2020-01-21,55.049999,55.400002,54.150002,54.900002,53.991417,38849
2020-01-22,54.950001,55.000000,54.099998,54.250000,53.352173,30466
2020-01-23,54.299999,55.650002,53.950001,54.349998,53.450516,59523
2020-01-24,54.700001,54.799999,53.900002,54.500000,53.598034,28221
2020-01-27,54.099998,57.000000,53.900002,56.200001,55.269897,188500
2020-01-28,56.299999,56.799999,54.000000,54.799999,53.893070,58369
2020-01-29,54.900002,56.000000,54.250000,54.500000,53.598034,38262
2020-01-30,54.349998,55.200001,52.849998,54.349998,53.450516,56254
2020-01-31,54.799999,54.950001,53.849998,54.349998,53.450516,19155
2020-02-03,54.200001,55.549999,54.000000,55.549999,54.630657,23768
2020-02-04,56.250000,56.500000,55.200001,55.599998,54.679825,30528
2020-02-05,55.700001,56.000000,55.400002,55.650002,54.729004,30683
2020-02-06,55.849998,58.000000,55.849998,57.650002,56.695904,161366
2020-02-07,58.450001,59.650002,58.049999,58.400002,57.433491,133700
2020-02-10,58.099998,58.200001,53.400002,54.700001,53.794727,60035
2020-02-11,55.049999,55.849998,53.150002,54.650002,53.745552,29973
2020-02-12,54.750000,56.250000,54.200001,55.000000,54.089760,39944
2020-02-13,55.000000,55.700001,54.950001,55.299999,54.384792,16927
2020-02-14,55.650002,55.950001,53.900002,54.099998,53.204655,41950
2020-02-17,54.150002,54.650002,53.799999,54.200001,53.303001,19951
2020-02-18,53.950001,53.950001,52.400002,53.049999,52.172031,23568
2020-02-19,53.500000,53.500000,51.599998,52.000000,51.139408,21696
2020-02-20,52.000000,52.000000,48.580002,49.000000,48.189060,34994
2020-02-21,46.439999,49.680000,46.439999,49.340000,48.523430,29354
2020-02-24,49.000000,50.049999,47.020000,50.049999,49.221680,18490
2020-02-25,50.000000,52.150002,49.580002,49.840000,49.015156,26954
2020-02-26,49.619999,49.959999,48.380001,49.419998,48.602104,11061
2020-02-27,49.700001,54.799999,46.020000,51.000000,50.155960,205446
2020-02-28,44.400002,49.759998,44.400002,48.980000,48.169388,25735
2020-03-02,49.500000,50.500000,48.500000,48.980000,48.169388,24595
2020-03-03,50.000000,50.000000,48.299999,49.200001,48.385750,21213
2020-03-04,49.000000,49.200001,47.599998,48.160000,47.362961,12258
2020-03-05,48.000000,48.880001,48.000000,48.099998,47.303951,9049
2020-03-06,48.500000,48.540001,46.500000,46.500000,45.730434,12069
2020-03-09,45.980000,47.799999,42.820000,43.200001,42.485046,82484
2020-03-10,44.480000,44.900002,41.000000,41.000000,40.321457,39349
2020-03-11,41.000000,41.000000,41.000000,41.000000,40.321457,0
2020-03-12,37.660000,37.660000,33.980000,34.000000,33.437305,42167
2020-03-13,33.500000,37.240002,32.820000,37.240002,36.623684,31931
2020-03-16,36.400002,36.400002,33.279999,33.279999,32.729221,22890
